model,train_accuracy,test_accuracy,precision,recall,f1_score,cv_mean_f1,cv_std_f1,overfitting_gap,confusion_matrix,tp,tn,fp,fn
XGBoost,0.95,0.9,0.875,1.0,0.9333333333333333,0.6884848484848485,0.11426131183791,0.04999999999999993,"[[2, 1], [0, 7]]",7,2,1,0
Random Forest,0.95,0.7,0.7,1.0,0.8235294117647058,0.791941391941392,0.06911923880565794,0.25,"[[0, 3], [0, 7]]",7,0,3,0
Logistic Regression,0.625,0.7,0.75,0.8571428571428571,0.8,0.6464646464646464,0.1045832654993518,-0.07499999999999996,"[[1, 2], [1, 6]]",6,1,2,1
